Entry	Entry name	Protein names	yourlist:M20180509F725F458AC8690F874DD868E4ED79B88FE4F7BJ
Q9BQ69	MACD1_HUMAN	O-acetyl-ADP-ribose deacetylase MACROD1 (EC 3.2.2.-) (EC 3.5.1.-) (MACRO domain-containing protein 1) (Protein LRP16) ([Protein ADP-ribosylglutamate] hydrolase)	NM_014067
Q8N4S0	CCD82_HUMAN	Coiled-coil domain-containing protein 82	NM_024725
Q9UHR6	ZNHI2_HUMAN	Zinc finger HIT domain-containing protein 2 (Protein FON)	NM_014205
O43159	RRP8_HUMAN	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	NM_015324
Q8NAA4	A16L2_HUMAN	Autophagy-related protein 16-2 (APG16-like 2) (WD repeat-containing protein 80)	NM_033388
Q6ZTN6	AN13D_HUMAN	Ankyrin repeat domain-containing protein 13D	NM_207354
Q9Y2V0	CO041_HUMAN	Uncharacterized protein C15orf41 (Protein HH114)	NM_032499
P24468	COT2_HUMAN	COUP transcription factor 2 (COUP-TF2) (Apolipoprotein A-I regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	NM_021005
Q8TBZ6	TM10A_HUMAN	tRNA methyltransferase 10 homolog A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10A)	NM_152292
Q17R98	ZN827_HUMAN	Zinc finger protein 827	NM_178835
Q96JK9	MAML3_HUMAN	Mastermind-like protein 3 (Mam-3)	NM_018717
P25929	NPY1R_HUMAN	Neuropeptide Y receptor type 1 (NPY1-R)	NM_000909
Q8NA72	POC5_HUMAN	Centrosomal protein POC5 (Protein of centriole 5) (hPOC5)	NM_152408
Q96RF0	SNX18_HUMAN	Sorting nexin-18 (SH3 and PX domain-containing protein 3B) (Sorting nexin-associated Golgi protein 1)	NM_052870
Q9NQ38	ISK5_HUMAN	Serine protease inhibitor Kazal-type 5 (Lympho-epithelial Kazal-type-related inhibitor) (LEKTI) [Cleaved into: Hemofiltrate peptide HF6478; Hemofiltrate peptide HF7665]	NM_006846
A2RUC4	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5 (hTYW5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	NM_001039693
Q8NHH9	ATLA2_HUMAN	Atlastin-2 (EC 3.6.5.-) (ADP-ribosylation factor-like protein 6-interacting protein 2) (ARL-6-interacting protein 2) (Aip-2)	NM_022374
Q86X95	CIR1_HUMAN	Corepressor interacting with RBPJ 1 (CBF1-interacting corepressor) (Recepin)	NM_004882
Q86T82	UBP37_HUMAN	Ubiquitin carboxyl-terminal hydrolase 37 (EC 3.4.19.12) (Deubiquitinating enzyme 37) (Ubiquitin thioesterase 37) (Ubiquitin-specific-processing protease 37)	NM_020935
Q8WXS4	CCGL_HUMAN	Voltage-dependent calcium channel gamma-like subunit (Neuronal voltage-gated calcium channel gamma-like subunit) (Transmembrane protein 37)	NM_183240
Q76N32	CEP68_HUMAN	Centrosomal protein of 68 kDa (Cep68)	NM_015147
Q562F6	SGO2_HUMAN	Shugoshin 2 (Shugoshin-2) (Shugoshin-like 2) (Tripin)	NM_152524
Q96M89	CC138_HUMAN	Coiled-coil domain-containing protein 138	NM_144978
P32249	GP183_HUMAN	G-protein coupled receptor 183 (Epstein-Barr virus-induced G-protein coupled receptor 2) (EBI2) (EBV-induced G-protein coupled receptor 2) (hEBI2)	NM_004951
P05165	PCCA_HUMAN	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	NM_000282
Q6PGQ7	BORA_HUMAN	Protein aurora borealis (HsBora)	NM_024808
Q03468	ERCC6_HUMAN	DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB)	NM_000124
Q7LFX5	CHSTF_HUMAN	Carbohydrate sulfotransferase 15 (EC 2.8.2.33) (B-cell RAG-associated gene protein) (hBRAG) (N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase) (GalNAc4S-6ST)	NM_015892
Q7L804	RFIP2_HUMAN	Rab11 family-interacting protein 2 (Rab11-FIP2) (NRip11)	NM_014904
Q14153	FA53B_HUMAN	Protein FAM53B (Protein simplet)	NM_014661
Q8NFU5	IPMK_HUMAN	Inositol polyphosphate multikinase (EC 2.7.1.151) (Inositol 1,3,4,6-tetrakisphosphate 5-kinase)	NM_152230
Q9NS39	RED2_HUMAN	Double-stranded RNA-specific editase B2 (EC 3.5.-.-) (RNA-dependent adenosine deaminase 3) (RNA-editing deaminase 2) (RNA-editing enzyme 2) (dsRNA adenosine deaminase B2)	NM_018702
P35713	SOX18_HUMAN	Transcription factor SOX-18	NM_018419
Q13188	STK3_HUMAN	Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]	NM_006281
Q96BK5	PINX1_HUMAN	PIN2/TERF1-interacting telomerase inhibitor 1 (Liver-related putative tumor suppressor) (Pin2-interacting protein X1) (Protein 67-11-3) (TRF1-interacting protein 1)	NM_017884
Q96RS0	TGS1_HUMAN	Trimethylguanosine synthase (EC 2.1.1.-) (CLL-associated antigen KW-2) (Cap-specific guanine-N2 methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif) (PIMT) (PIPMT)	NM_024831
A4FU01	MTMRB_HUMAN	Myotubularin-related protein 11 (Cisplatin resistance-associated protein) (hCRA)	NM_181873
O75815	BCAR3_HUMAN	Breast cancer anti-estrogen resistance protein 3 (Novel SH2-containing protein 2) (SH2 domain-containing protein 3B)	NM_003567
Q86X24	HORM1_HUMAN	HORMA domain-containing protein 1 (Cancer/testis antigen 46) (CT46) (Newborn ovary HORMA protein)	NM_032132
Q6P2H3	CEP85_HUMAN	Centrosomal protein of 85 kDa (Cep85) (Coiled-coil domain-containing protein 21)	NM_022778
Q5SZI1	LRAD2_HUMAN	Low-density lipoprotein receptor class A domain-containing protein 2	NM_001013693
P61968	LMO4_HUMAN	LIM domain transcription factor LMO4 (Breast tumor autoantigen) (LIM domain only protein 4) (LMO-4)	NM_006769
Q5T6C5	AT7L2_HUMAN	Ataxin-7-like protein 2	NM_153340
Q9P215	POGK_HUMAN	Pogo transposable element with KRAB domain	NM_017542
Q93033	IGSF2_HUMAN	Immunoglobulin superfamily member 2 (IgSF2) (Cell surface glycoprotein V7) (Glu-Trp-Ile EWI motif-containing protein 101) (EWI-101) (CD antigen CD101)	NM_004258
Q96IR7	HPDL_HUMAN	4-hydroxyphenylpyruvate dioxygenase-like protein (EC 1.13.-.-) (Glyoxalase domain-containing protein 1)	NM_032756
Q86VD7	S2542_HUMAN	Mitochondrial coenzyme A transporter SLC25A42 (Solute carrier family 25 member 42)	NM_178526
P41273	TNFL9_HUMAN	Tumor necrosis factor ligand superfamily member 9 (4-1BB ligand) (4-1BBL)	NM_003811
P26651	TTP_HUMAN	mRNA decay activator protein ZFP36 (G0/G1 switch regulatory protein 24) (Growth factor-inducible nuclear protein NUP475) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36)	NM_003407
A6NFY7	SDHF1_HUMAN	Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)	NM_001042631
Q8NF99	ZN397_HUMAN	Zinc finger protein 397 (Zinc finger and SCAN domain-containing protein 15) (Zinc finger protein 47)	NM_032347
Q6ZSZ6	TSH1_HUMAN	Teashirt homolog 1 (Antigen NY-CO-33) (Serologically defined colon cancer antigen 33)	NM_005786
P59923	ZN445_HUMAN	Zinc finger protein 445 (Zinc finger protein 168) (Zinc finger protein with KRAB and SCAN domains 15)	NM_181489
P23769	GATA2_HUMAN	Endothelial transcription factor GATA-2 (GATA-binding protein 2)	NM_032638
Q93015	NAT6_HUMAN	N-acetyltransferase 6 (EC 2.3.1.-) (Protein fusion-2) (Protein fus-2)	NM_012191
Q14699	RFTN1_HUMAN	Raftlin (Cell migration-inducing gene 2 protein) (Raft-linking protein)	NM_015150
Q13449	LSAMP_HUMAN	Limbic system-associated membrane protein (LSAMP) (IgLON family member 3)	NM_002338
O75896	TUSC2_HUMAN	Tumor suppressor candidate 2 (Fusion 1 protein) (Fus-1 protein) (PDGFA-associated protein 2)	NM_007275
Q96DR7	ARHGQ_HUMAN	Rho guanine nucleotide exchange factor 26 (SH3 domain-containing guanine exchange factor)	NM_015595
Q9H974	QTRT2_HUMAN	Queuine tRNA-ribosyltransferase accessory subunit 2 (Queuine tRNA-ribosyltransferase domain-containing protein 1)	NM_024638
Q8WTQ7	GRK7_HUMAN	Rhodopsin kinase (EC 2.7.11.14) (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)	NM_139209
Q86UQ0	ZN589_HUMAN	Zinc finger protein 589 (Stem cell zinc finger protein 1)	NM_016089
Q5VYS8	TUT7_HUMAN	Terminal uridylyltransferase 7 (TUTase 7) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 6)	NM_024617
Q8N9R8	SCAI_HUMAN	Protein SCAI (Suppressor of cancer cell invasion protein)	NM_173690
Q99500	S1PR3_HUMAN	Sphingosine 1-phosphate receptor 3 (S1P receptor 3) (S1P3) (Endothelial differentiation G-protein coupled receptor 3) (Sphingosine 1-phosphate receptor Edg-3) (S1P receptor Edg-3)	NM_005226
Q9H3R0	KDM4C_HUMAN	Lysine-specific demethylase 4C (EC 1.14.11.-) (Gene amplified in squamous cell carcinoma 1 protein) (GASC-1 protein) (JmjC domain-containing histone demethylation protein 3C) (Jumonji domain-containing protein 2C)	NM_015061
Q16739	CEGT_HUMAN	Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)	NM_003358
Q6ZV73	FGD6_HUMAN	FYVE, RhoGEF and PH domain-containing protein 6 (Zinc finger FYVE domain-containing protein 24)	NM_018351
Q9HCH0	NCK5L_HUMAN	Nck-associated protein 5-like (NCKAP5-like) (Centrosomal protein of 169 kDa) (Cep169)	NM_001037806
Q8NCL8	TM116_HUMAN	Transmembrane protein 116	NM_138341
Q14432	PDE3A_HUMAN	cGMP-inhibited 3',5'-cyclic phosphodiesterase A (EC 3.1.4.17) (Cyclic GMP-inhibited phosphodiesterase A) (CGI-PDE A)	NM_000921
Q9NQ88	TIGAR_HUMAN	Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)	NM_020375
A2RRH5	WDR27_HUMAN	WD repeat-containing protein 27	NM_182552
Q8N157	AHI1_HUMAN	Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1)	NM_017651
Q8N6D2	RN182_HUMAN	E3 ubiquitin-protein ligase RNF182 (EC 2.3.2.27) (RING finger protein 182) (RING-type E3 ubiquitin transferase RNF182)	NM_152737
Q9BRR0	ZKSC3_HUMAN	Zinc finger protein with KRAB and SCAN domains 3 (Zinc finger and SCAN domain-containing protein 13) (Zinc finger protein 306) (Zinc finger protein 309) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)	NM_024493
A7XYQ1	SOBP_HUMAN	Sine oculis-binding protein homolog (Jackson circler protein 1)	NM_018013
Q8IV38	ANKY2_HUMAN	Ankyrin repeat and MYND domain-containing protein 2	NM_020319
Q8WVS4	WDR60_HUMAN	WD repeat-containing protein 60	NM_018051
Q9UP38	FZD1_HUMAN	Frizzled-1 (Fz-1) (hFz1) (FzE1)	NM_003505
Q9NZW5	MPP6_HUMAN	MAGUK p55 subfamily member 6 (Veli-associated MAGUK 1) (VAM-1)	NM_016447
Q8IYD8	FANCM_HUMAN	Fanconi anemia group M protein (Protein FACM) (EC 3.6.4.13) (ATP-dependent RNA helicase FANCM) (Fanconi anemia-associated polypeptide of 250 kDa) (FAAP250) (Protein Hef ortholog)	NM_020937
Q9Y4F4	TGRM1_HUMAN	TOG array regulator of axonemal microtubules protein 1 (Crescerin-1) (Protein FAM179B)	NM_015091
Q8WYK2	JDP2_HUMAN	Jun dimerization protein 2	NM_130469
Q8N8U2	CDYL2_HUMAN	Chromodomain Y-like protein 2 (CDY-like 2)	NM_152342
Q99611	SPS2_HUMAN	Selenide, water dikinase 2 (EC 2.7.9.3) (Selenium donor protein 2) (Selenophosphate synthase 2)	NM_012248
Q8TBK2	SETD6_HUMAN	N-lysine methyltransferase SETD6 (EC 2.1.1.-) (SET domain-containing protein 6)	NM_024860
Q9ULH7	MKL2_HUMAN	MKL/myocardin-like protein 2 (Megakaryoblastic leukemia 2) (Myocardin-related transcription factor B) (MRTF-B)	NM_014048
Q9UNK0	STX8_HUMAN	Syntaxin-8	NM_004853
Q9BX63	FANCJ_HUMAN	Fanconi anemia group J protein (Protein FACJ) (EC 3.6.4.13) (ATP-dependent RNA helicase BRIP1) (BRCA1-associated C-terminal helicase 1) (BRCA1-interacting protein C-terminal helicase 1) (BRCA1-interacting protein 1)	NM_032043
Q9BTE0	NAT9_HUMAN	N-acetyltransferase 9 (EC 2.3.1.-) (Embryo brain-specific protein)	NM_015654
Q8N6N6	NATD1_HUMAN	Protein NATD1 (N-acetyltransferase domain-containing protein 1)	NM_152914
Q96FJ2	DYL2_HUMAN	Dynein light chain 2, cytoplasmic (8 kDa dynein light chain b) (DLC8b) (Dynein light chain LC8-type 2)	NM_080677
Q8IVT5	KSR1_HUMAN	Kinase suppressor of Ras 1	NM_014238
Q9H5J8	TAF1D_HUMAN	TATA box-binding protein-associated factor RNA polymerase I subunit D (RNA polymerase I-specific TBP-associated factor 41 kDa) (TAFI41) (TATA box-binding protein-associated factor 1D) (TBP-associated factor 1D) (Transcription initiation factor SL1/TIF-IB subunit D)	NM_024116
Q8IZL2	MAML2_HUMAN	Mastermind-like protein 2 (Mam-2)	NM_032427
P63215	GBG3_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3	NM_012202
Q86VR8	FJX1_HUMAN	Four-jointed box protein 1 (Four-jointed protein homolog)	NM_014344
Q8IXT1	DDIAS_HUMAN	DNA damage-induced apoptosis suppressor protein (Nitric oxide-inducible gene protein)	NM_145018
Q15054	DPOD3_HUMAN	DNA polymerase delta subunit 3 (DNA polymerase delta subunit C) (DNA polymerase delta subunit p66) (DNA polymerase delta subunit p68)	NM_006591
Q9H611	PIF1_HUMAN	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (PIF1/RRM3 DNA helicase-like protein)	NM_025049
Q8TDY8	IGDC4_HUMAN	Immunoglobulin superfamily DCC subclass member 4 (Neighbor of punc e11) (Protein DDM36) (hDDM36)	NM_020962
Q02224	CENPE_HUMAN	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)	NM_001813
O43897	TLL1_HUMAN	Tolloid-like protein 1 (EC 3.4.24.-)	NM_012464
A1A4S6	RHG10_HUMAN	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	NM_024605
Q9H160	ING2_HUMAN	Inhibitor of growth protein 2 (Inhibitor of growth 1-like protein) (ING1Lp) (p32) (p33ING2)	NM_001564
Q9NUP1	BL1S4_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 4 (BLOC-1 subunit 4) (Protein cappuccino homolog)	NM_018366
Q6R327	RICTR_HUMAN	Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)	NM_152756
Q96RE9	ZN300_HUMAN	Zinc finger protein 300	NM_052860
Q9UBT6	POLK_HUMAN	DNA polymerase kappa (EC 2.7.7.7) (DINB protein) (DINP)	NM_016218
Q969F2	NKD2_HUMAN	Protein naked cuticle homolog 2 (Naked-2) (hNkd2)	NM_033120
Q9Y343	SNX24_HUMAN	Sorting nexin-24	NM_014035
Q9UIF8	BAZ2B_HUMAN	Bromodomain adjacent to zinc finger domain protein 2B (hWALp4)	NM_013450
Q13467	FZD5_HUMAN	Frizzled-5 (Fz-5) (hFz5) (FzE5)	NM_003468
Q9HB15	KCNKC_HUMAN	Potassium channel subfamily K member 12 (Tandem pore domain halothane-inhibited potassium channel 2) (THIK-2)	NM_022055
Q9UPY8	MARE3_HUMAN	Microtubule-associated protein RP/EB family member 3 (EB1 protein family member 3) (EBF3) (End-binding protein 3) (EB3) (RP3)	NM_012326
Q8TDR0	MIPT3_HUMAN	TRAF3-interacting protein 1 (Interleukin-13 receptor alpha 1-binding protein 1) (Intraflagellar transport protein 54 homolog) (Microtubule-interacting protein associated with TRAF3) (MIP-T3)	NM_015650
Q8NDX1	PSD4_HUMAN	PH and SEC7 domain-containing protein 4 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 B) (Exchange factor for ARF6 B) (Pleckstrin homology and SEC7 domain-containing protein 4) (Telomeric of interleukin-1 cluster protein)	NM_012455
Q96PY5	FMNL2_HUMAN	Formin-like protein 2 (Formin homology 2 domain-containing protein 2)	NM_052905
P54277	PMS1_HUMAN	PMS1 protein homolog 1 (DNA mismatch repair protein PMS1)	NM_000534
Q9Y5U4	INSI2_HUMAN	Insulin-induced gene 2 protein (INSIG-2)	NM_016133
P10070	GLI2_HUMAN	Zinc finger protein GLI2 (GLI family zinc finger protein 2) (Tax helper protein)	NM_005270
Q9Y576	ASB1_HUMAN	Ankyrin repeat and SOCS box protein 1 (ASB-1)	NM_001040445
Q6ZMW3	EMAL6_HUMAN	Echinoderm microtubule-associated protein-like 6 (EMAP-6) (Echinoderm microtubule-associated protein-like 5-like)	NM_001039753
Q9P0V3	SH3B4_HUMAN	SH3 domain-binding protein 4 (EH-binding protein 10) (Transferrin receptor-trafficking protein)	NM_014521
Q8TC92	ENOX1_HUMAN	Ecto-NOX disulfide-thiol exchanger 1 (Candidate growth-related and time keeping constitutive hydroquinone [NADH] oxidase) (cCNOX) (Cell proliferation-inducing gene 38 protein) (Constitutive Ecto-NOX) (cNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	NM_017993
Q2TAA5	ALG11_HUMAN	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Asparagine-linked glycosylation protein 11 homolog) (Glycolipid 2-alpha-mannosyltransferase)	NM_001004127
Q14393	GAS6_HUMAN	Growth arrest-specific protein 6 (GAS-6) (AXL receptor tyrosine kinase ligand)	NM_000820
Q9NVV4	PAPD1_HUMAN	Poly(A) RNA polymerase, mitochondrial (PAP) (EC 2.7.7.19) (PAP-associated domain-containing protein 1) (Polynucleotide adenylyltransferase) (Terminal uridylyltransferase 1) (TUTase 1) (mtPAP)	NM_018109
Q495W5	FUT11_HUMAN	Alpha-(1,3)-fucosyltransferase 11 (EC 2.4.1.-) (Fucosyltransferase XI) (Fuc-TXI) (FucT-XI) (Galactoside 3-L-fucosyltransferase 11) (Fucosyltransferase 11)	NM_173540
Q8WYB5	KAT6B_HUMAN	Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)	NM_012330
Q9UKD1	GMEB2_HUMAN	Glucocorticoid modulatory element-binding protein 2 (GMEB-2) (DNA-binding protein p79PIF) (Parvovirus initiation factor p79) (PIF p79)	NM_012384
Q9H115	SNAB_HUMAN	Beta-soluble NSF attachment protein (SNAP-beta) (N-ethylmaleimide-sensitive factor attachment protein beta)	NM_022080
Q9Y312	AAR2_HUMAN	Protein AAR2 homolog (AAR2 splicing factor homolog)	NM_015511
O94900	TOX_HUMAN	Thymocyte selection-associated high mobility group box protein TOX (Thymus high mobility group box protein TOX)	NM_014729
Q96E29	MTEF3_HUMAN	Transcription termination factor 3, mitochondrial (Mitochondrial transcription termination factor 3) (mTERF3) (mTERF domain-containing protein 1, mitochondrial)	NM_015942
Q15048	LRC14_HUMAN	Leucine-rich repeat-containing protein 14	NM_014665
Q8NEM0	MCPH1_HUMAN	Microcephalin	NM_024596
P24298	ALAT1_HUMAN	Alanine aminotransferase 1 (ALT1) (EC 2.6.1.2) (Glutamate pyruvate transaminase 1) (GPT 1) (Glutamic--alanine transaminase 1) (Glutamic--pyruvic transaminase 1)	NM_005309
Q96I76	GPTC3_HUMAN	G patch domain-containing protein 3	NM_022078
O75553	DAB1_HUMAN	Disabled homolog 1	NM_021080
Q8IYH5	ZZZ3_HUMAN	ZZ-type zinc finger-containing protein 3	NM_015534
Q5T089	MORN1_HUMAN	MORN repeat-containing protein 1	NM_024848
Q9Y6Y1	CMTA1_HUMAN	Calmodulin-binding transcription activator 1	NM_015215
Q5T5D7	ZN684_HUMAN	Zinc finger protein 684	NM_152373
Q96H78	S2544_HUMAN	Solute carrier family 25 member 44	NM_014655
Q96MC6	MF14A_HUMAN	Hippocampus abundant transcript 1 protein (Major facilitator superfamily domain-containing 14A) (Putative tetracycline transporter-like protein)	NM_033055
Q9Y5A9	YTHD2_HUMAN	YTH domain-containing family protein 2 (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	NM_016258
P50548	ERF_HUMAN	ETS domain-containing transcription factor ERF (Ets2 repressor factor) (PE-2)	NM_006494
P13994	CC130_HUMAN	Coiled-coil domain-containing protein 130 (9 kDa protein)	NM_030818
Q2V2M9	FHOD3_HUMAN	FH1/FH2 domain-containing protein 3 (Formactin-2) (Formin homolog overexpressed in spleen 2) (hFHOS2)	NM_025135
P58658	EVA1C_HUMAN	Protein eva-1 homolog C (Protein FAM176C) (SUE21)	NM_058187
Q9UHP3	UBP25_HUMAN	Ubiquitin carboxyl-terminal hydrolase 25 (EC 3.4.19.12) (Deubiquitinating enzyme 25) (USP on chromosome 21) (Ubiquitin thioesterase 25) (Ubiquitin-specific-processing protease 25)	NM_013396
Q9NS98	SEM3G_HUMAN	Semaphorin-3G (Semaphorin sem2)	NM_020163
Q9UK59	DBR1_HUMAN	Lariat debranching enzyme (EC 3.1.-.-)	NM_016216
Q9UKE5	TNIK_HUMAN	TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)	NM_015028
P12757	SKIL_HUMAN	Ski-like protein (Ski-related oncogene) (Ski-related protein)	NM_005414
Q8TBE7	S35G2_HUMAN	Solute carrier family 35 member G2 (Transmembrane protein 22)	NM_025246
Q9Y2C4	EXOG_HUMAN	Nuclease EXOG, mitochondrial (EC 3.1.30.-) (Endonuclease G-like 1) (Endo G-like 1)	NM_005107
P35367	HRH1_HUMAN	Histamine H1 receptor (H1R) (HH1R)	NM_000861
P20594	ANPRB_HUMAN	Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)	NM_003995
Q8WYL5	SSH1_HUMAN	Protein phosphatase Slingshot homolog 1 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 1) (SSH-1L) (hSSH-1L)	NM_018984
Q86T29	ZN605_HUMAN	Zinc finger protein 605	NM_183238
Q86YQ8	CPNE8_HUMAN	Copine-8 (Copine VIII)	NM_153634
Q8IUH5	ZDH17_HUMAN	Palmitoyltransferase ZDHHC17 (EC 2.3.1.225) (Huntingtin yeast partner H) (Huntingtin-interacting protein 14) (HIP-14) (Huntingtin-interacting protein 3) (HIP-3) (Huntingtin-interacting protein H) (Putative MAPK-activating protein PM11) (Putative NF-kappa-B-activating protein 205) (Zinc finger DHHC domain-containing protein 17) (DHHC-17)	NM_015336
P41212	ETV6_HUMAN	Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel)	NM_001987
Q9UHD2	TBK1_HUMAN	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	NM_013254
Q8NG08	HELB_HUMAN	DNA helicase B (hDHB) (EC 3.6.4.12)	NM_033647
Q969S8	HDA10_HUMAN	Histone deacetylase 10 (HD10) (EC 3.5.1.98)	NM_032019
Q96DF8	ESS2_HUMAN	Splicing factor ESS-2 homolog (DiGeorge syndrome critical region 13) (DiGeorge syndrome critical region 14) (DiGeorge syndrome protein H) (DGS-H) (Protein ES2)	NM_022719
P19086	GNAZ_HUMAN	Guanine nucleotide-binding protein G(z) subunit alpha (G(x) alpha chain) (Gz-alpha)	NM_002073
Q96PF2	TSSK2_HUMAN	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)	NM_053006
